hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar),
4,120,0.208473,0.0685207,0,0,0.00347455
4,180,0.208518,0.0685377,0,0,0.0034753
4,240,0.208535,0.0685437,0,0,0.003475583333333
4,300,0.208569,0.0685545,0,0,0.00347615
4,360,0.208584,0.0685575,0,0,0.0034764
4,420,0.334419,0.109914,0,0,0.00557365
4,480,0.334307,0.109876,0,0,0.005571783333333
4,540,0.334311,0.109884,0,0,0.00557185
4,600,0.334312,0.109883,0,0,0.005571866666667
4,660,0.334318,0.109886,0,0,0.005571966666667
4,720,0.334252,0.109861,0,0,0.005570866666667
4,780,0.334156,0.109828,0,0,0.005569266666667
4,840,0.33421,0.10985,0,0,0.005570166666667
4,900,0.334324,0.109891,0,0,0.005572066666667
4,960,0.334335,0.109891,0,0,0.00557225
4,1020,0.334324,0.109887,0,0,0.005572066666667
4,1080,0.334431,0.109925,0,0,0.00557385
4,1140,0.334433,0.109923,0,0,0.005573883333333
4,1200,0.334554,0.109967,0,0,0.0055759
4,1260,0.165205,0.054302,0,0,0.002753416666667
4,1320,0.165151,0.0542807,0,0,0.002752516666667
4,1380,0.165201,0.0543011,0,0,0.00275335
4,1440,0.165213,0.0543031,0,0,0.00275355
4,1500,0.0391076,0.0128531,0,0,0.000651793333333
4,1560,0.0391052,0.0128531,0,0,0.000651753333333
4,1620,0.0390907,0.0128481,0,0,0.000651511666667
4,1680,0.0390905,0.0128485,0,0,0.000651508333333
4,1740,0.0390897,0.012848,0,0,0.000651495
4,1800,0.0390966,0.0128507,0,0,0.00065161
4,1860,0.0390878,0.0128472,0,0,0.000651463333333
4,1920,0.0390898,0.0128484,0,0,0.000651496666667
4,1980,0.0390911,0.0128487,0,0,0.000651518333333
4,2040,0.0390913,0.0128488,0,0,0.000651521666667
4,2100,0.0391016,0.0128524,0,0,0.000651693333333
4,2160,0.0391019,0.0128521,0,0,0.000651698333333
4,2220,0.0390981,0.0128508,0,0,0.000651635
4,2280,0.0390787,0.0128439,0,0,0.000651311666667
4,2340,0.0390905,0.012849,0,0,0.000651508333333
4,2400,0.0390832,0.0128459,0,0,0.000651386666667
4,2460,0.0390832,0.012846,0,0,0.000651386666667
4,2520,0.0390911,0.0128488,0,0,0.000651518333333
4,2580,0.0390979,0.0128511,0,0,0.000651631666667
4,2640,0.0391235,0.0128601,0,0,0.000652058333333
4,2700,0.0391183,0.0128574,0,0,0.000651971666667
4,2760,0.0391182,0.0128575,0,0,0.00065197
4,2820,0.0391184,0.0128575,0,0,0.000651973333333
4,2880,0.0391248,0.01286,0,0,0.00065208
4,2940,0.0391444,0.0128669,0,0,0.000652406666667
4,3000,0.0391437,0.0128658,0,0,0.000652395
4,3060,0.0391391,0.0128643,0,0,0.000652318333333
4,3120,0.0391388,0.0128643,0,0,0.000652313333333
4,3180,0.0391375,0.0128638,0,0,0.000652291666667
4,3240,0.0391256,0.0128596,0,0,0.000652093333333
4,3300,0.0391134,0.0128555,0,0,0.00065189
4,3360,0.0391132,0.0128559,0,0,0.000651886666667
4,3420,0.0391109,0.0128551,0,0,0.000651848333333
4,3480,0.0391056,0.0128533,0,0,0.00065176
4,3540,0.0391068,0.0128539,0,0,0.00065178
5,0,0.0391347,0.012864,0,0,0.000652245
5,60,0.0391474,0.0128677,0,0,0.000652456666667
5,120,0.0391461,0.0128666,0,0,0.000652435
5,180,0.0391423,0.0128653,0,0,0.000652371666667
5,240,0.0391437,0.0128661,0,0,0.000652395
5,300,0.165244,0.0543131,0,0,0.002754066666667
5,360,0.165242,0.0543123,0,0,0.002754033333333
5,420,0.165234,0.0543089,0,0,0.0027539
5,480,0.165229,0.0543077,0,0,0.002753816666667
5,540,0.165256,0.0543179,0,0,0.002754266666667
5,600,0.165201,0.0542969,0,0,0.00275335
5,660,0.165257,0.0543189,0,0,0.002754283333333
5,720,0.165259,0.0543181,0,0,0.002754316666667
5,780,0.165214,0.0543015,0,0,0.002753566666667
5,840,0.165212,0.0543022,0,0,0.002753533333333
5,900,0.165183,0.0542924,0,0,0.00275305
5,960,0.165253,0.054318,0,0,0.002754216666667
5,1020,0.16525,0.0543154,0,0,0.002754166666667
5,1080,0.165252,0.0543155,0,0,0.0027542
5,1140,0.165271,0.0543219,0,0,0.002754516666667
5,1200,0.165271,0.0543217,0,0,0.002754516666667
5,1260,0.165265,0.0543189,0,0,0.002754416666667
5,1320,0.165265,0.0543199,0,0,0.002754416666667
5,1380,0.0391488,0.0128677,0,0,0.00065248
5,1440,0.039141,0.0128647,0,0,0.00065235
5,1500,0.0391398,0.0128645,0,0,0.00065233
5,1560,0.0391382,0.0128639,0,0,0.000652303333333
5,1620,0.0391266,0.0128602,0,0,0.00065211
5,1680,0.0391182,0.0128571,0,0,0.00065197
5,1740,0.0391117,0.0128553,0,0,0.000651861666667
5,1800,0.0391022,0.0128523,0,0,0.000651703333333
5,1860,0.0391019,0.0128524,0,0,0.000651698333333
5,1920,0.0391021,0.0128522,0,0,0.000651701666667
5,1980,0.0391101,0.0128551,0,0,0.000651835
5,2040,0.0389643,0.0128068,0,0,0.000649405
5,2100,0.0389626,0.0128062,0,0,0.000649376666667
5,2160,0.0389506,0.0128022,0,0,0.000649176666667
5,2220,0.0390927,0.0128493,0,0,0.000651545
5,2280,0.0390908,0.0128484,0,0,0.000651513333333
5,2340,0.0390788,0.0128441,0,0,0.000651313333333
5,2400,0.0390656,0.0128397,0,0,0.000651093333333
5,2460,0.0390475,0.0128335,0,0,0.000650791666667
5,2520,0.0390505,0.0128355,0,0,0.000650841666667
5,2580,0.0390405,0.0128314,0,0,0.000650675
5,2640,0.0390302,0.012828,0,0,0.000650503333333
5,2700,0.0390435,0.0128333,0,0,0.000650725
5,2760,0.0390439,0.0128331,0,0,0.000650731666667
5,2820,0.0390495,0.0128352,0,0,0.000650825
5,2880,0.0390445,0.0128332,0,0,0.000650741666667
5,2940,0.0390335,0.0128293,0,0,0.000650558333333
5,3000,0.0390563,0.012838,0,0,0.000650938333333
5,3060,0.0390644,0.0128401,0,0,0.000651073333333
5,3120,0.0390646,0.0128399,0,0,0.000651076666667
5,3180,0.0390667,0.0128408,0,0,0.000651111666667
5,3240,0.0390912,0.0128495,0,0,0.00065152
5,3300,0.0391103,0.0128551,0,0,0.000651838333333
5,3360,0.0391112,0.0128553,0,0,0.000651853333333
5,3420,0.0390862,0.0128464,0,0,0.000651436666667
5,3480,0.0390685,0.012841,0,0,0.000651141666667
5,3540,0.0390695,0.012842,0,0,0.000651158333333
6,0,0.0390792,0.0128452,0,0,0.00065132
6,60,0.0389728,0.0128096,0,0,0.000649546666667
6,120,0.0389734,0.01281,0,0,0.000649556666667
6,180,0.164573,0.0540942,0,0,0.002742883333333
6,240,0.165145,0.0542815,0,0,0.002752416666667
6,300,0.165156,0.0542861,0,0,0.0027526
6,360,0.165156,0.0542841,0,0,0.0027526
6,420,0.165142,0.0542792,0,0,0.002752366666667
6,480,0.165107,0.0542666,0,0,0.002751783333333
6,540,0.165103,0.0542662,0,0,0.002751716666667
6,600,0.165162,0.0542885,0,0,0.0027527
6,660,0.16524,0.0543152,0,0,0.002754
6,720,0.165237,0.0543109,0,0,0.00275395
